Symbol,DVI (%)
XPAY,0.60
OMAH,1.90
RNTY,2.00
TDAQ,2.10
TSPY,3.20
SPYI,3.40
IYRI,4.60
YSPY,4.80
GPIX,4.90
RYLD,5.00
QQQI,5.10
AMYY,5.20
BIGY,5.20
IWMI,5.20
IAUI,5.30
QQQH,5.90
AZYY,6.00
GPIQ,6.40
TQQY,6.80
PLYY,8.00
DIVO,8.30
CEPI,8.60
BAGY,9.00
KGLD,9.80
SPYH,10.00
BLOX,10.30
BTCI,10.50
SLJY,11.40
GPTY,11.50
SOXY,11.70
GOOP,12.00
JEPQ,12.60
MAGY,13.30
CHPY,13.80
HOII,14.10
NVYY,14.20
QDVO,14.30
PBP,16.00
PLTI,16.20
JEPI,16.40
LFGY,17.40
AMZP,18.80
AIPI,19.80
FEPI,20.10
IWMY,20.40
GLDW,21.60
RDTY,22.10
YMAX,22.50
XOMO,22.60
QQQY,23.30
XBTY,25.90
QDTY,26.10
NFLP,26.20
SDTY,26.50
RDTE,26.60
QYLD,26.90
WPAY,28.30
AVGW,29.50
AMZW,31.30
XYZY,31.40
COYY,33.20
DISO,34.50
TSMY,34.70
XDTE,35.20
APLY,35.60
TSYY,37.00
ABNY,37.10
OARK,38.50
TSLY,39.70
FBY,40.30
NVDW,40.70
YMAG,40.80
AMZY,41.20
HOOW,41.30
NVII,41.30
METW,42.00
GOOW,42.30
CVNY,42.90
AAPW,43.50
SMCY,43.80
TSLW,44.20
YBIT,44.70
MSFO,44.80
PLTW,45.10
KQQQ,45.40
PYPY,46.10
TSLP,46.80
GOOY,47.10
TSII,47.10
AMDW,47.20
COIW,49.40
QDTE,50.10
NFLY,51.20
NFLW,51.90
BRKW,52.00
MSFY,53.60
CONY,54.20
MSTY,54.60
XYLD,56.90
PLTY,57.00
YBTC,57.20
ULTY,57.40
MSTW,60.00
IGLD,61.90
YETH,62.00
MSFW,62.20
MAXI,66.20
NVDY,68.30
GIAX,69.10
JPMO,71.60
MARO,75.20
COII,75.60
MSII,83.80
HOOY,96.60
GDXY,108.00
DJIA,115.50
AMDY,123.50
BABO,148.30
